Code point(s)	Character(s)	Tab completion sequence(s)	Unicode name(s)
U+1D7DA	𝟚	\bbtwo	Mathematical Double-Struck Digit Two
U+1D7DB	𝟛	\bbthree	Mathematical Double-Struck Digit Three
U+1D7DC	𝟜	\bbfour	Mathematical Double-Struck Digit Four
U+1D7DD	𝟝	\bbfive	Mathematical Double-Struck Digit Five
U+1D7DE	𝟞	\bbsix	Mathematical Double-Struck Digit Six
U+1D7DF	𝟟	\bbseven	Mathematical Double-Struck Digit Seven
U+1D7E0	𝟠	\bbeight	Mathematical Double-Struck Digit Eight
U+1D7E1	𝟡	\bbnine	Mathematical Double-Struck Digit Nine
U+1D7E2	𝟢	\sanszero	Mathematical Sans-Serif Digit Zero
U+1D7E3	𝟣	\sansone	Mathematical Sans-Serif Digit One
U+1D7E4	𝟤	\sanstwo	Mathematical Sans-Serif Digit Two
U+1D7E5	𝟥	\sansthree	Mathematical Sans-Serif Digit Three
U+1D7E6	𝟦	\sansfour	Mathematical Sans-Serif Digit Four
U+1D7E7	𝟧	\sansfive	Mathematical Sans-Serif Digit Five
U+1D7E8	𝟨	\sanssix	Mathematical Sans-Serif Digit Six
U+1D7E9	𝟩	\sansseven	Mathematical Sans-Serif Digit Seven
U+1D7EA	𝟪	\sanseight	Mathematical Sans-Serif Digit Eight
U+1D7EB	𝟫	\sansnine	Mathematical Sans-Serif Digit Nine
U+1D7EC	𝟬	\bsanszero	Mathematical Sans-Serif Bold Digit Zero
U+1D7ED	𝟭	\bsansone	Mathematical Sans-Serif Bold Digit One
U+1D7EE	𝟮	\bsanstwo	Mathematical Sans-Serif Bold Digit Two
U+1D7EF	𝟯	\bsansthree	Mathematical Sans-Serif Bold Digit Three
U+1D7F0	𝟰	\bsansfour	Mathematical Sans-Serif Bold Digit Four
U+1D7F1	𝟱	\bsansfive	Mathematical Sans-Serif Bold Digit Five
U+1D7F2	𝟲	\bsanssix	Mathematical Sans-Serif Bold Digit Six
U+1D7F3	𝟳	\bsansseven	Mathematical Sans-Serif Bold Digit Seven
U+1D7F4	𝟴	\bsanseight	Mathematical Sans-Serif Bold Digit Eight
U+1D7F5	𝟵	\bsansnine	Mathematical Sans-Serif Bold Digit Nine
U+1D7F6	𝟶	\ttzero	Mathematical Monospace Digit Zero
U+1D7F7	𝟷	\ttone	Mathematical Monospace Digit One
U+1D7F8	𝟸	\tttwo	Mathematical Monospace Digit Two
U+1D7F9	𝟹	\ttthree	Mathematical Monospace Digit Three
U+1D7FA	𝟺	\ttfour	Mathematical Monospace Digit Four
U+1D7FB	𝟻	\ttfive	Mathematical Monospace Digit Five
U+1D7FC	𝟼	\ttsix	Mathematical Monospace Digit Six
U+1D7FD	𝟽	\ttseven	Mathematical Monospace Digit Seven
U+1D7FE	𝟾	\tteight	Mathematical Monospace Digit Eight
U+1D7FF	𝟿	\ttnine	Mathematical Monospace Digit Nine
U+1F004	🀄	\:mahjong:	Mahjong Tile Red Dragon
U+1F0CF	🃏	\:black_joker:	Playing Card Black Joker
U+1F170	🅰	\:a:	Negative Squared Latin Capital Letter A
U+1F171	🅱	\:b:	Negative Squared Latin Capital Letter B
U+1F17E	🅾	\:o2:	Negative Squared Latin Capital Letter O
U+1F17F	🅿	\:parking:	Negative Squared Latin Capital Letter P
U+1F18E	🆎	\:ab:	Negative Squared Ab
U+1F191	🆑	\:cl:	Squared Cl
U+1F192	🆒	\:cool:	Squared Cool
U+1F193	🆓	\:free:	Squared Free
U+1F194	🆔	\:id:	Squared Id
U+1F195	🆕	\:new:	Squared New
U+1F196	🆖	\:ng:	Squared Ng
U+1F197	🆗	\:ok:	Squared Ok
U+1F198	🆘	\:sos:	Squared Sos
U+1F199	🆙	\:up:	Squared Up With Exclamation Mark
U+1F19A	🆚	\:vs:	Squared Vs
U+1F201	🈁	\:koko:	Squared Katakana Koko
U+1F202	🈂	\:sa:	Squared Katakana Sa
U+1F21A	🈚	\:u7121:	Squared Cjk Unified Ideograph-7121
U+1F22F	🈯	\:u6307:	Squared Cjk Unified Ideograph-6307
U+1F232	🈲	\:u7981:	Squared Cjk Unified Ideograph-7981
U+1F233	🈳	\:u7a7a:	Squared Cjk Unified Ideograph-7A7A
U+1F234	🈴	\:u5408:	Squared Cjk Unified Ideograph-5408
U+1F235	🈵	\:u6e80:	Squared Cjk Unified Ideograph-6E80
U+1F236	🈶	\:u6709:	Squared Cjk Unified Ideograph-6709
U+1F237	🈷	\:u6708:	Squared Cjk Unified Ideograph-6708
U+1F238	🈸	\:u7533:	Squared Cjk Unified Ideograph-7533
U+1F239	🈹	\:u5272:	Squared Cjk Unified Ideograph-5272
U+1F23A	🈺	\:u55b6:	Squared Cjk Unified Ideograph-55B6
U+1F250	🉐	\:ideograph_advantage:	Circled Ideograph Advantage
U+1F251	🉑	\:accept:	Circled Ideograph Accept
U+1F300	🌀	\:cyclone:	Cyclone
U+1F301	🌁	\:foggy:	Foggy
U+1F302	🌂	\:closed_umbrella:	Closed Umbrella
U+1F303	🌃	\:night_with_stars:	Night With Stars
U+1F304	🌄	\:sunrise_over_mountains:	Sunrise Over Mountains
U+1F305	🌅	\:sunrise:	Sunrise
U+1F306	🌆	\:city_sunset:	Cityscape At Dusk
U+1F307	🌇	\:city_sunrise:	Sunset Over Buildings
U+1F308	🌈	\:rainbow:	Rainbow
U+1F309	🌉	\:bridge_at_night:	Bridge At Night
U+1F30A	🌊	\:ocean:	Water Wave
U+1F30B	🌋	\:volcano:	Volcano
U+1F30C	🌌	\:milky_way:	Milky Way
U+1F30D	🌍	\:earth_africa:	Earth Globe Europe-Africa
U+1F30E	🌎	\:earth_americas:	Earth Globe Americas
U+1F30F	🌏	\:earth_asia:	Earth Globe Asia-Australia
U+1F310	🌐	\:globe_with_meridians:	Globe With Meridians
U+1F311	🌑	\:new_moon:	New Moon Symbol
U+1F312	🌒	\:waxing_crescent_moon:	Waxing Crescent Moon Symbol
U+1F313	🌓	\:first_quarter_moon:	First Quarter Moon Symbol
U+1F314	🌔	\:moon:	Waxing Gibbous Moon Symbol
U+1F315	🌕	\:full_moon:	Full Moon Symbol
U+1F316	🌖	\:waning_gibbous_moon:	Waning Gibbous Moon Symbol
U+1F317	🌗	\:last_quarter_moon:	Last Quarter Moon Symbol
U+1F318	🌘	\:waning_crescent_moon:	Waning Crescent Moon Symbol
U+1F319	🌙	\:crescent_moon:	Crescent Moon
U+1F31A	🌚	\:new_moon_with_face:	New Moon With Face
U+1F31B	🌛	\:first_quarter_moon_with_face:	First Quarter Moon With Face
U+1F31C	🌜	\:last_quarter_moon_with_face:	Last Quarter Moon With Face
U+1F31D	🌝	\:full_moon_with_face:	Full Moon With Face
U+1F31E	🌞	\:sun_with_face:	Sun With Face
U+1F31F	🌟	\:star2:	Glowing Star
U+1F320	🌠	\:stars:	Shooting Star
U+1F330	🌰	\:chestnut:	Chestnut
U+1F331	🌱	\:seedling:	Seedling
U+1F332	🌲	\:evergreen_tree:	Evergreen Tree
U+1F333	🌳	\:deciduous_tree:	Deciduous Tree
U+1F334	🌴	\:palm_tree:	Palm Tree
U+1F335	🌵	\:cactus:	Cactus
U+1F337	🌷	\:tulip:	Tulip
U+1F338	🌸	\:cherry_blossom:	Cherry Blossom
U+1F339	🌹	\:rose:	Rose
U+1F33A	🌺	\:hibiscus:	Hibiscus
U+1F33B	🌻	\:sunflower:	Sunflower
U+1F33C	🌼	\:blossom:	Blossom
U+1F33D	🌽	\:corn:	Ear Of Maize
U+1F33E	🌾	\:ear_of_rice:	Ear Of Rice
U+1F33F	🌿	\:herb:	Herb
U+1F340	🍀	\:four_leaf_clover:	Four Leaf Clover
U+1F341	🍁	\:maple_leaf:	Maple Leaf
U+1F342	🍂	\:fallen_leaf:	Fallen Leaf
U+1F343	🍃	\:leaves:	Leaf Fluttering In Wind
U+1F344	🍄	\:mushroom:	Mushroom
U+1F345	🍅	\:tomato:	Tomato
U+1F346	🍆	\:eggplant:	Aubergine
U+1F347	🍇	\:grapes:	Grapes
U+1F348	🍈	\:melon:	Melon
U+1F349	🍉	\:watermelon:	Watermelon
U+1F34A	🍊	\:tangerine:	Tangerine
U+1F34B	🍋	\:lemon:	Lemon
U+1F34C	🍌	\:banana:	Banana
U+1F34D	🍍	\:pineapple:	Pineapple
U+1F34E	🍎	\:apple:	Red Apple
U+1F34F	🍏	\:green_apple:	Green Apple
U+1F350	🍐	\:pear:	Pear
U+1F351	🍑	\:peach:	Peach
U+1F352	🍒	\:cherries:	Cherries
U+1F353	🍓	\:strawberry:	Strawberry
U+1F354	🍔	\:hamburger:	Hamburger
U+1F355	🍕	\:pizza:	Slice Of Pizza
U+1F356	🍖	\:meat_on_bone:	Meat On Bone
U+1F357	🍗	\:poultry_leg:	Poultry Leg
U+1F358	🍘	\:rice_cracker:	Rice Cracker
U+1F359	🍙	\:rice_ball:	Rice Ball
U+1F35A	🍚	\:rice:	Cooked Rice
U+1F35B	🍛	\:curry:	Curry And Rice
U+1F35C	🍜	\:ramen:	Steaming Bowl
U+1F35D	🍝	\:spaghetti:	Spaghetti
U+1F35E	🍞	\:bread:	Bread
U+1F35F	🍟	\:fries:	French Fries
U+1F360	🍠	\:sweet_potato:	Roasted Sweet Potato
U+1F361	🍡	\:dango:	Dango
U+1F362	🍢	\:oden:	Oden
U+1F363	🍣	\:sushi:	Sushi
U+1F364	🍤	\:fried_shrimp:	Fried Shrimp
U+1F365	🍥	\:fish_cake:	Fish Cake With Swirl Design
U+1F366	🍦	\:icecream:	Soft Ice Cream
U+1F367	🍧	\:shaved_ice:	Shaved Ice
U+1F368	🍨	\:ice_cream:	Ice Cream
U+1F369	🍩	\:doughnut:	Doughnut
U+1F36A	🍪	\:cookie:	Cookie
U+1F36B	🍫	\:chocolate_bar:	Chocolate Bar
U+1F36C	🍬	\:candy:	Candy
U+1F36D	🍭	\:lollipop:	Lollipop
U+1F36E	🍮	\:custard:	Custard
U+1F36F	🍯	\:honey_pot:	Honey Pot
U+1F370	🍰	\:cake:	Shortcake
U+1F371	🍱	\:bento:	Bento Box
U+1F372	🍲	\:stew:	Pot Of Food
U+1F373	🍳	\:egg:	Cooking
U+1F374	🍴	\:fork_and_knife:	Fork And Knife
U+1F375	🍵	\:tea:	Teacup Without Handle
U+1F376	🍶	\:sake:	Sake Bottle And Cup
U+1F377	🍷	\:wine_glass:	Wine Glass
U+1F378	🍸	\:cocktail:	Cocktail Glass
U+1F379	🍹	\:tropical_drink:	Tropical Drink
U+1F37A	🍺	\:beer:	Beer Mug
U+1F37B	🍻	\:beers:	Clinking Beer Mugs
U+1F37C	🍼	\:baby_bottle:	Baby Bottle
U+1F380	🎀	\:ribbon:	Ribbon
U+1F381	🎁	\:gift:	Wrapped Present
U+1F382	🎂	\:birthday:	Birthday Cake
U+1F383	🎃	\:jack_o_lantern:	Jack-O-Lantern
U+1F384	🎄	\:christmas_tree:	Christmas Tree
U+1F385	🎅	\:santa:	Father Christmas
U+1F386	🎆	\:fireworks:	Fireworks
U+1F387	🎇	\:sparkler:	Firework Sparkler
U+1F388	🎈	\:balloon:	Balloon
U+1F389	🎉	\:tada:	Party Popper
U+1F38A	🎊	\:confetti_ball:	Confetti Ball
U+1F38B	🎋	\:tanabata_tree:	Tanabata Tree
U+1F38C	🎌	\:crossed_flags:	Crossed Flags
U+1F38D	🎍	\:bamboo:	Pine Decoration
U+1F38E	🎎	\:dolls:	Japanese Dolls
U+1F38F	🎏	\:flags:	Carp Streamer
U+1F390	🎐	\:wind_chime:	Wind Chime
U+1F391	🎑	\:rice_scene:	Moon Viewing Ceremony
U+1F392	🎒	\:school_satchel:	School Satchel
U+1F393	🎓	\:mortar_board:	Graduation Cap
U+1F3A0	🎠	\:carousel_horse:	Carousel Horse
U+1F3A1	🎡	\:ferris_wheel:	Ferris Wheel
U+1F3A2	🎢	\:roller_coaster:	Roller Coaster
U+1F3A3	🎣	\:fishing_pole_and_fish:	Fishing Pole And Fish
U+1F3A4	🎤	\:microphone:	Microphone
U+1F3A5	🎥	\:movie_camera:	Movie Camera
U+1F3A6	🎦	\:cinema:	Cinema
U+1F3A7	🎧	\:headphones:	Headphone
U+1F3A8	🎨	\:art:	Artist Palette
U+1F3A9	🎩	\:tophat:	Top Hat
U+1F3AA	🎪	\:circus_tent:	Circus Tent
U+1F3AB	🎫	\:ticket:	Ticket
U+1F3AC	🎬	\:clapper:	Clapper Board
U+1F3AD	🎭	\:performing_arts:	Performing Arts
U+1F3AE	🎮	\:video_game:	Video Game
U+1F3AF	🎯	\:dart:	Direct Hit
U+1F3B0	🎰	\:slot_machine:	Slot Machine
U+1F3B1	🎱	\:8ball:	Billiards
U+1F3B2	🎲	\:game_die:	Game Die
U+1F3B3	🎳	\:bowling:	Bowling
U+1F3B4	🎴	\:flower_playing_cards:	Flower Playing Cards
U+1F3B5	🎵	\:musical_note:	Musical Note
U+1F3B6	🎶	\:notes:	Multiple Musical Notes
U+1F3B7	🎷	\:saxophone:	Saxophone
U+1F3B8	🎸	\:guitar:	Guitar
U+1F3B9	🎹	\:musical_keyboard:	Musical Keyboard
U+1F3BA	🎺	\:trumpet:	Trumpet
U+1F3BB	🎻	\:violin:	Violin
U+1F3BC	🎼	\:musical_score:	Musical Score
U+1F3BD	🎽	\:running_shirt_with_sash:	Running Shirt With Sash
U+1F3BE	🎾	\:tennis:	Tennis Racquet And Ball
U+1F3BF	🎿	\:ski:	Ski And Ski Boot
U+1F3C0	🏀	\:basketball:	Basketball And Hoop
U+1F3C1	🏁	\:checkered_flag:	Chequered Flag
U+1F3C2	🏂	\:snowboarder:	Snowboarder
U+1F3C3	🏃	\:runner:	Runner
U+1F3C4	🏄	\:surfer:	Surfer
U+1F3C6	🏆	\:trophy:	Trophy
U+1F3C7	🏇	\:horse_racing:	Horse Racing
U+1F3C8	🏈	\:football:	American Football
U+1F3C9	🏉	\:rugby_football:	Rugby Football
U+1F3CA	🏊	\:swimmer:	Swimmer
U+1F3E0	🏠	\:house:	House Building
U+1F3E1	🏡	\:house_with_garden:	House With Garden
U+1F3E2	🏢	\:office:	Office Building
U+1F3E3	🏣	\:post_office:	Japanese Post Office
U+1F3E4	🏤	\:european_post_office:	European Post Office
U+1F3E5	🏥	\:hospital:	Hospital
U+1F3E6	🏦	\:bank:	Bank
U+1F3E7	🏧	\:atm:	Automated Teller Machine
U+1F3E8	🏨	\:hotel:	Hotel
U+1F3E9	🏩	\:love_hotel:	Love Hotel
U+1F3EA	🏪	\:convenience_store:	Convenience Store
U+1F3EB	🏫	\:school:	School
U+1F3EC	🏬	\:department_store:	Department Store
U+1F3ED	🏭	\:factory:	Factory
U+1F3EE	🏮	\:izakaya_lantern:	Izakaya Lantern
U+1F3EF	🏯	\:japanese_castle:	Japanese Castle
U+1F3F0	🏰	\:european_castle:	European Castle
U+1F3FB	🏻	\:skin-tone-2:	Emoji Modifier Fitzpatrick Type-1-2
U+1F3FC	🏼	\:skin-tone-3:	Emoji Modifier Fitzpatrick Type-3
U+1F3FD	🏽	\:skin-tone-4:	Emoji Modifier Fitzpatrick Type-4
U+1F3FE	🏾	\:skin-tone-5:	Emoji Modifier Fitzpatrick Type-5
U+1F3FF	🏿	\:skin-tone-6:	Emoji Modifier Fitzpatrick Type-6
U+1F400	🐀	\:rat:	Rat
U+1F401	🐁	\:mouse2:	Mouse
U+1F402	🐂	\:ox:	Ox
U+1F403	🐃	\:water_buffalo:	Water Buffalo
U+1F404	🐄	\:cow2:	Cow
U+1F405	🐅	\:tiger2:	Tiger
U+1F406	🐆	\:leopard:	Leopard
U+1F407	🐇	\:rabbit2:	Rabbit
U+1F408	🐈	\:cat2:	Cat
U+1F409	🐉	\:dragon:	Dragon
U+1F40A	🐊	\:crocodile:	Crocodile
U+1F40B	🐋	\:whale2:	Whale
U+1F40C	🐌	\:snail:	Snail
U+1F40D	🐍	\:snake:	Snake
U+1F40E	🐎	\:racehorse:	Horse
U+1F40F	🐏	\:ram:	Ram
U+1F410	🐐	\:goat:	Goat
U+1F411	🐑	\:sheep:	Sheep
U+1F412	🐒	\:monkey:	Monkey
U+1F413	🐓	\:rooster:	Rooster
U+1F414	🐔	\:chicken:	Chicken
U+1F415	🐕	\:dog2:	Dog
U+1F416	🐖	\:pig2:	Pig
U+1F417	🐗	\:boar:	Boar
U+1F418	🐘	\:elephant:	Elephant
U+1F419	🐙	\:octopus:	Octopus
U+1F41A	🐚	\:shell:	Spiral Shell
U+1F41B	🐛	\:bug:	Bug
U+1F41C	🐜	\:ant:	Ant
U+1F41D	🐝	\:bee:	Honeybee
U+1F41E	🐞	\:beetle:	Lady Beetle
U+1F41F	🐟	\:fish:	Fish
U+1F420	🐠	\:tropical_fish:	Tropical Fish
U+1F421	🐡	\:blowfish:	Blowfish
U+1F422	🐢	\:turtle:	Turtle
U+1F423	🐣	\:hatching_chick:	Hatching Chick
U+1F424	🐤	\:baby_chick:	Baby Chick
U+1F425	🐥	\:hatched_chick:	Front-Facing Baby Chick
U+1F426	🐦	\:bird:	Bird
U+1F427	🐧	\:penguin:	Penguin
U+1F428	🐨	\:koala:	Koala
U+1F429	🐩	\:poodle:	Poodle
U+1F42A	🐪	\:dromedary_camel:	Dromedary Camel
U+1F42B	🐫	\:camel:	Bactrian Camel
U+1F42C	🐬	\:dolphin:	Dolphin
U+1F42D	🐭	\:mouse:	Mouse Face
U+1F42E	🐮	\:cow:	Cow Face
U+1F42F	🐯	\:tiger:	Tiger Face
U+1F430	🐰	\:rabbit:	Rabbit Face
U+1F431	🐱	\:cat:	Cat Face
U+1F432	🐲	\:dragon_face:	Dragon Face
U+1F433	🐳	\:whale:	Spouting Whale
U+1F434	🐴	\:horse:	Horse Face
U+1F435	🐵	\:monkey_face:	Monkey Face
U+1F436	🐶	\:dog:	Dog Face
U+1F437	🐷	\:pig:	Pig Face
U+1F438	🐸	\:frog:	Frog Face
U+1F439	🐹	\:hamster:	Hamster Face
U+1F43A	🐺	\:wolf:	Wolf Face
U+1F43B	🐻	\:bear:	Bear Face
U+1F43C	🐼	\:panda_face:	Panda Face
U+1F43D	🐽	\:pig_nose:	Pig Nose
U+1F43E	🐾	\:feet:	Paw Prints
U+1F440	👀	\:eyes:	Eyes
U+1F442	👂	\:ear:	Ear
U+1F443	👃	\:nose:	Nose
U+1F444	👄	\:lips:	Mouth
U+1F445	👅	\:tongue:	Tongue
U+1F446	👆	\:point_up_2:	White Up Pointing Backhand Index
U+1F447	👇	\:point_down:	White Down Pointing Backhand Index
U+1F448	👈	\:point_left:	White Left Pointing Backhand Index
U+1F449	👉	\:point_right:	White Right Pointing Backhand Index
U+1F44A	👊	\:facepunch:	Fisted Hand Sign
U+1F44B	👋	\:wave:	Waving Hand Sign
U+1F44C	👌	\:ok_hand:	Ok Hand Sign
U+1F44D	👍	\:+1:	Thumbs Up Sign
U+1F44E	👎	\:-1:	Thumbs Down Sign
U+1F44F	👏	\:clap:	Clapping Hands Sign
U+1F450	👐	\:open_hands:	Open Hands Sign
U+1F451	👑	\:crown:	Crown
U+1F452	👒	\:womans_hat:	Womans Hat
U+1F453	👓	\:eyeglasses:	Eyeglasses
U+1F454	👔	\:necktie:	Necktie
U+1F455	👕	\:shirt:	T-Shirt
U+1F456	👖	\:jeans:	Jeans
U+1F457	👗	\:dress:	Dress
U+1F458	👘	\:kimono:	Kimono
U+1F459	👙	\:bikini:	Bikini
U+1F45A	👚	\:womans_clothes:	Womans Clothes
U+1F45B	👛	\:purse:	Purse
U+1F45C	👜	\:handbag:	Handbag
U+1F45D	👝	\:pouch:	Pouch
U+1F45E	👞	\:mans_shoe:	Mans Shoe
U+1F45F	👟	\:athletic_shoe:	Athletic Shoe
U+1F460	👠	\:high_heel:	High-Heeled Shoe
U+1F461	👡	\:sandal:	Womans Sandal
U+1F462	👢	\:boot:	Womans Boots
U+1F463	👣	\:footprints:	Footprints
U+1F464	👤	\:bust_in_silhouette:	Bust In Silhouette
U+1F465	👥	\:busts_in_silhouette:	Busts In Silhouette
U+1F466	👦	\:boy:	Boy
U+1F467	👧	\:girl:	Girl
U+1F468	👨	\:man:	Man
U+1F469	👩	\:woman:	Woman
U+1F46A	👪	\:family:	Family
U+1F46B	👫	\:couple:	Man And Woman Holding Hands
U+1F46C	👬	\:two_men_holding_hands:	Two Men Holding Hands
U+1F46D	👭	\:two_women_holding_hands:	Two Women Holding Hands
U+1F46E	👮	\:cop:	Police Officer
U+1F46F	👯	\:dancers:	Woman With Bunny Ears
U+1F470	👰	\:bride_with_veil:	Bride With Veil
U+1F471	👱	\:person_with_blond_hair:	Person With Blond Hair
U+1F472	👲	\:man_with_gua_pi_mao:	Man With Gua Pi Mao
U+1F473	👳	\:man_with_turban:	Man With Turban
U+1F474	👴	\:older_man:	Older Man
U+1F475	👵	\:older_woman:	Older Woman
U+1F476	👶	\:baby:	Baby
U+1F477	👷	\:construction_worker:	Construction Worker
U+1F478	👸	\:princess:	Princess
U+1F479	👹	\:japanese_ogre:	Japanese Ogre
U+1F47A	👺	\:japanese_goblin:	Japanese Goblin
U+1F47B	👻	\:ghost:	Ghost
U+1F47C	👼	\:angel:	Baby Angel
U+1F47D	👽	\:alien:	Extraterrestrial Alien
U+1F47E	👾	\:space_invader:	Alien Monster
U+1F47F	👿	\:imp:	Imp
U+1F480	💀	\:skull:	Skull
U+1F481	💁	\:information_desk_person:	Information Desk Person
U+1F482	💂	\:guardsman:	Guardsman
U+1F483	💃	\:dancer:	Dancer
U+1F484	💄	\:lipstick:	Lipstick
U+1F485	💅	\:nail_care:	Nail Polish
U+1F486	💆	\:massage:	Face Massage
U+1F487	💇	\:haircut:	Haircut
U+1F488	💈	\:barber:	Barber Pole
U+1F489	💉	\:syringe:	Syringe
U+1F48A	💊	\:pill:	Pill
U+1F48B	💋	\:kiss:	Kiss Mark
U+1F48C	💌	\:love_letter:	Love Letter
U+1F48D	💍	\:ring:	Ring
U+1F48E	💎	\:gem:	Gem Stone
U+1F48F	💏	\:couplekiss:	Kiss
U+1F490	💐	\:bouquet:	Bouquet
U+1F491	💑	\:couple_with_heart:	Couple With Heart
U+1F492	💒	\:wedding:	Wedding
U+1F493	💓	\:heartbeat:	Beating Heart
U+1F494	💔	\:broken_heart:	Broken Heart
U+1F495	💕	\:two_hearts:	Two Hearts
U+1F496	💖	\:sparkling_heart:	Sparkling Heart
U+1F497	💗	\:heartpulse:	Growing Heart
U+1F498	💘	\:cupid:	Heart With Arrow
U+1F499	💙	\:blue_heart:	Blue Heart
U+1F49A	💚	\:green_heart:	Green Heart
U+1F49B	💛	\:yellow_heart:	Yellow Heart
U+1F49C	💜	\:purple_heart:	Purple Heart
U+1F49D	💝	\:gift_heart:	Heart With Ribbon
U+1F49E	💞	\:revolving_hearts:	Revolving Hearts
U+1F49F	💟	\:heart_decoration:	Heart Decoration
U+1F4A0	💠	\:diamond_shape_with_a_dot_inside:	Diamond Shape With A Dot Inside
U+1F4A1	💡	\:bulb:	Electric Light Bulb
U+1F4A2	💢	\:anger:	Anger Symbol
U+1F4A3	💣	\:bomb:	Bomb
U+1F4A4	💤	\:zzz:	Sleeping Symbol
U+1F4A5	💥	\:boom:	Collision Symbol
U+1F4A6	💦	\:sweat_drops:	Splashing Sweat Symbol
U+1F4A7	💧	\:droplet:	Droplet
U+1F4A8	💨	\:dash:	Dash Symbol
U+1F4A9	💩	\:hankey:	Pile Of Poo
U+1F4AA	💪	\:muscle:	Flexed Biceps
U+1F4AB	💫	\:dizzy:	Dizzy Symbol
U+1F4AC	💬	\:speech_balloon:	Speech Balloon
U+1F4AD	💭	\:thought_balloon:	Thought Balloon
U+1F4AE	💮	\:white_flower:	White Flower
U+1F4AF	💯	\:100:	Hundred Points Symbol
U+1F4B0	💰	\:moneybag:	Money Bag
U+1F4B1	💱	\:currency_exchange:	Currency Exchange
U+1F4B2	💲	\:heavy_dollar_sign:	Heavy Dollar Sign
U+1F4B3	💳	\:credit_card:	Credit Card
U+1F4B4	💴	\:yen:	Banknote With Yen Sign
U+1F4B5	💵	\:dollar:	Banknote With Dollar Sign
U+1F4B6	💶	\:euro:	Banknote With Euro Sign
U+1F4B7	💷	\:pound:	Banknote With Pound Sign
U+1F4B8	💸	\:money_with_wings:	Money With Wings
U+1F4B9	💹	\:chart:	Chart With Upwards Trend And Yen Sign
U+1F4BA	💺	\:seat:	Seat
U+1F4BB	💻	\:computer:	Personal Computer
U+1F4BC	💼	\:briefcase:	Briefcase
U+1F4BD	💽	\:minidisc:	Minidisc
U+1F4BE	💾	\:floppy_disk:	Floppy Disk
U+1F4BF	💿	\:cd:	Optical Disc
U+1F4C0	📀	\:dvd:	Dvd
U+1F4C1	📁	\:file_folder:	File Folder
U+1F4C2	📂	\:open_file_folder:	Open File Folder
U+1F4C3	📃	\:page_with_curl:	Page With Curl
U+1F4C4	📄	\:page_facing_up:	Page Facing Up
U+1F4C5	📅	\:date:	Calendar
U+1F4C6	📆	\:calendar:	Tear-Off Calendar
U+1F4C7	📇	\:card_index:	Card Index
U+1F4C8	📈	\:chart_with_upwards_trend:	Chart With Upwards Trend
U+1F4C9	📉	\:chart_with_downwards_trend:	Chart With Downwards Trend
U+1F4CA	📊	\:bar_chart:	Bar Chart
U+1F4CB	📋	\:clipboard:	Clipboard
U+1F4CC	📌	\:pushpin:	Pushpin
U+1F4CD	📍	\:round_pushpin:	Round Pushpin
U+1F4CE	📎	\:paperclip:	Paperclip
U+1F4CF	📏	\:straight_ruler:	Straight Ruler
U+1F4D0	📐	\:triangular_ruler:	Triangular Ruler
U+1F4D1	📑	\:bookmark_tabs:	Bookmark Tabs
U+1F4D2	📒	\:ledger:	Ledger
U+1F4D3	📓	\:notebook:	Notebook
U+1F4D4	📔	\:notebook_with_decorative_cover:	Notebook With Decorative Cover
U+1F4D5	📕	\:closed_book:	Closed Book
U+1F4D6	📖	\:book:	Open Book
U+1F4D7	📗	\:green_book:	Green Book
U+1F4D8	📘	\:blue_book:	Blue Book
U+1F4D9	📙	\:orange_book:	Orange Book
U+1F4DA	📚	\:books:	Books
U+1F4DB	📛	\:name_badge:	Name Badge
U+1F4DC	📜	\:scroll:	Scroll
U+1F4DD	📝	\:memo:	Memo
U+1F4DE	📞	\:telephone_receiver:	Telephone Receiver
U+1F4DF	📟	\:pager:	Pager
U+1F4E0	📠	\:fax:	Fax Machine
U+1F4E1	📡	\:satellite:	Satellite Antenna
U+1F4E2	📢	\:loudspeaker:	Public Address Loudspeaker
U+1F4E3	📣	\:mega:	Cheering Megaphone
U+1F4E4	📤	\:outbox_tray:	Outbox Tray
U+1F4E5	📥	\:inbox_tray:	Inbox Tray
U+1F4E6	📦	\:package:	Package
U+1F4E7	📧	\:e-mail:	E-Mail Symbol
U+1F4E8	📨	\:incoming_envelope:	Incoming Envelope
U+1F4E9	📩	\:envelope_with_arrow:	Envelope With Downwards Arrow Above
U+1F4EA	📪	\:mailbox_closed:	Closed Mailbox With Lowered Flag
U+1F4EB	📫	\:mailbox:	Closed Mailbox With Raised Flag
U+1F4EC	📬	\:mailbox_with_mail:	Open Mailbox With Raised Flag
U+1F4ED	📭	\:mailbox_with_no_mail:	Open Mailbox With Lowered Flag
U+1F4EE	📮	\:postbox:	Postbox
U+1F4EF	📯	\:postal_horn:	Postal Horn
U+1F4F0	📰	\:newspaper:	Newspaper
U+1F4F1	📱	\:iphone:	Mobile Phone
U+1F4F2	📲	\:calling:	Mobile Phone With Rightwards Arrow At Left
U+1F4F3	📳	\:vibration_mode:	Vibration Mode
U+1F4F4	📴	\:mobile_phone_off:	Mobile Phone Off
U+1F4F5	📵	\:no_mobile_phones:	No Mobile Phones
U+1F4F6	📶	\:signal_strength:	Antenna With Bars
U+1F4F7	📷	\:camera:	Camera
U+1F4F9	📹	\:video_camera:	Video Camera
U+1F4FA	📺	\:tv:	Television
